co_area_compl_pedagogica_1,co_area_compl_pedagogica_2,co_area_compl_pedagogica_3,co_area_curso_1,co_area_curso_2,co_area_curso_3,co_curso_1,co_curso_2,co_curso_3,co_ies_1,co_ies_2,co_ies_3,co_municipio_end,co_uf_end,id_docente,in_disc_artes,in_disc_biologia,in_disc_educacao_fisica,in_disc_ensino_religioso,in_disc_est_sociais_sociologia,in_disc_estagio_supervisionado,in_disc_estudos_sociais,in_disc_filosofia,in_disc_fisica,in_disc_geografia,in_disc_historia,in_disc_informatica_computacao,in_disc_lingua_outra,in_disc_lingua_ingles,in_disc_libras,in_disc_lingua_espanhol,in_disc_lingua_frances,in_disc_lingua_indigena,in_disc_lingua_portuguesa,in_disc_outras,in_disc_port_segunda_lingua,in_disc_profissionalizante,in_disc_pedagogicas,in_disc_matematica,in_disc_quimica,in_disc_sociologia,in_doutorado,in_eja,in_especializacao,in_especial_exclusiva,in_mestrado,in_pos_nenhum,in_profissionalizante,in_regular,in_superdotacao,in_surdez,in_surdocegueira,nu_ano_conclusao_3,nu_ano_conclusao_2,nu_ano_conclusao_1,tp_ensino_medio,tp_etapa_ensino,tp_local_resid_diferenciada,tp_situacao_curso_3,tp_situacao_curso_2,tp_situacao_curso_1,tp_tipo_contratacao,tp_tipo_ies_1,tp_tipo_ies_2,tp_tipo_ies_3
NA,NA,NA,1,7,NA,145F21,727F01,NA,9999999,578,NA,2927408,29,115197274378,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1982,2008,3,27,NA,NA,1,1,1,NA,1,NA
NA,NA,NA,1,7,NA,145F21,727F01,NA,9999999,578,NA,2927408,29,115197274378,0,0,0,0,0,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1982,2008,3,25,NA,NA,1,1,1,NA,1,NA
NA,NA,NA,1,7,NA,145F21,727F01,NA,9999999,578,NA,2927408,29,115197274378,0,0,0,0,0,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1982,2008,3,25,NA,NA,1,1,1,1,1,NA
NA,NA,NA,1,7,NA,145F21,727F01,NA,9999999,578,NA,2927408,29,115197274378,0,0,0,0,0,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1982,2008,3,26,NA,NA,1,1,1,1,1,NA
NA,NA,NA,1,7,NA,145F21,727F01,NA,9999999,578,NA,2927408,29,115197274378,0,0,0,0,0,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1982,2008,3,26,NA,NA,1,1,1,NA,1,NA
NA,NA,NA,1,7,NA,145F21,727F01,NA,9999999,578,NA,2927408,29,115197274378,0,0,0,0,0,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1982,2008,3,27,NA,NA,1,1,1,1,1,NA
NA,NA,NA,1,7,NA,145F21,727F01,NA,9999999,578,NA,2927408,29,115197274378,0,0,0,0,0,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1982,2008,3,27,NA,NA,1,1,1,NA,1,NA
NA,NA,NA,1,7,NA,145F21,727F01,NA,9999999,578,NA,2927408,29,115197274378,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,1982,2008,NA,25,NA,NA,1,1,1,1,1,NA
NA,NA,NA,1,7,NA,145F21,727F01,NA,9999999,578,NA,2927408,29,115197274378,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,1982,2008,NA,26,NA,NA,1,1,1,1,1,NA
NA,NA,NA,1,7,NA,145F21,727F01,NA,9999999,578,NA,2927408,29,115197274378,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,1982,2008,NA,27,NA,NA,1,1,1,1,1,NA
NA,NA,NA,1,7,NA,145F21,727F01,NA,9999999,578,NA,2927408,29,D412AC3E8C49362731CB3F5E814B59E4,0,0,0,0,0,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,1,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1982,2008,NA,26,NA,NA,1,1,1,NA,1,NA
NA,NA,NA,1,7,NA,145F21,727F01,NA,9999999,578,NA,2927408,29,D412AC3E8C49362731CB3F5E814B59E4,0,0,0,0,0,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,1,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1982,2008,NA,27,NA,NA,1,1,1,NA,1,NA
NA,NA,NA,1,7,NA,145F21,727F01,NA,9999999,578,NA,2927408,29,D412AC3E8C49362731CB3F5E814B59E4,0,0,0,0,0,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,0,1,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1982,2008,NA,25,NA,NA,1,1,1,NA,1,NA
NA,NA,NA,1,7,NA,146F15,720E01,NA,519,519,NA,2927408,29,115159520103,0,0,1,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,1988,1988,NA,10,NA,NA,1,1,1,2,2,NA
NA,NA,NA,1,7,NA,146F15,720E01,NA,519,519,NA,2927408,29,115159520103,0,0,1,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,1988,1988,NA,11,NA,NA,1,1,1,2,2,NA
NA,NA,NA,1,7,NA,146F15,726F01,NA,519,519,NA,2927408,29,115196529763,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,2005,1990,3,10,NA,NA,1,1,1,2,2,NA
NA,NA,NA,1,7,NA,146F15,726F01,NA,519,519,NA,2927408,29,115196529763,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,2005,1990,3,11,NA,NA,1,1,1,2,2,NA
NA,NA,NA,1,7,NA,146F15,726F01,NA,519,519,NA,2927408,29,115196529763,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,2005,1990,3,25,NA,NA,1,1,1,2,2,NA
NA,NA,NA,1,7,NA,146F15,726F01,NA,519,519,NA,2927408,29,115196529763,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,2005,1990,3,10,NA,NA,1,1,1,2,2,NA
NA,NA,NA,1,7,NA,146F15,726F01,NA,519,519,NA,2927408,29,115196529763,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,2005,1990,3,19,NA,NA,1,1,1,2,2,NA
NA,NA,NA,1,7,NA,146F15,726F01,NA,519,519,NA,2927408,29,115196529763,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,2005,1990,3,20,NA,NA,1,1,1,2,2,NA
NA,NA,NA,1,7,NA,146F15,726F01,NA,519,519,NA,2927408,29,115196529763,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,2005,1990,3,9,NA,NA,1,1,1,2,2,NA
NA,NA,NA,1,7,NA,146F15,726F01,NA,519,519,NA,2927408,29,115196529763,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,2005,1990,3,11,NA,NA,1,1,1,2,2,NA
NA,NA,NA,1,7,NA,146F15,726F01,NA,519,519,NA,2927408,29,115196529763,0,1,1,0,NA,NA,0,1,1,1,1,0,0,1,0,0,0,0,1,1,NA,0,0,1,1,1,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,2005,1990,NA,27,NA,NA,1,1,1,2,2,NA
NA,NA,NA,1,7,NA,146F15,726F01,NA,519,519,NA,2927408,29,115196529763,1,0,1,0,NA,NA,0,0,0,1,1,0,0,1,0,0,0,0,1,1,NA,0,0,1,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,2005,1990,NA,10,NA,NA,1,1,1,2,2,NA
NA,NA,NA,1,7,NA,146F15,726F01,NA,519,519,NA,2927408,29,115196529763,1,0,1,0,NA,NA,0,0,0,1,1,0,0,1,0,0,0,0,1,1,NA,0,0,1,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,2005,1990,NA,8,NA,NA,1,1,1,2,2,NA
NA,NA,NA,1,7,NA,146F15,726F01,NA,519,519,NA,2927408,29,115196529763,1,0,1,0,NA,NA,0,0,0,1,1,0,0,1,0,0,0,0,1,1,NA,0,0,1,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,2005,1990,NA,9,NA,NA,1,1,1,2,2,NA
NA,NA,NA,1,7,NA,146F15,726F01,NA,519,519,NA,2927408,29,3DA5E21F35962C5EB139FBBA176F025E,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,2005,1990,3,20,NA,NA,1,1,1,2,2,NA
NA,NA,NA,1,7,NA,146F15,726F01,NA,519,519,NA,2927408,29,3DA5E21F35962C5EB139FBBA176F025E,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,2005,1990,3,25,NA,NA,1,1,1,2,2,NA
NA,NA,NA,1,7,NA,146F15,726F01,NA,519,519,NA,2927408,29,3DA5E21F35962C5EB139FBBA176F025E,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,2005,1990,3,26,NA,NA,1,1,1,2,2,NA
NA,NA,NA,1,7,NA,146F15,726F01,NA,519,519,NA,2927408,29,3DA5E21F35962C5EB139FBBA176F025E,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,2005,1990,3,27,NA,NA,1,1,1,2,2,NA
NA,NA,NA,1,7,NA,146F15,726F01,NA,519,519,NA,2927408,29,3DA5E21F35962C5EB139FBBA176F025E,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,2005,1990,3,41,NA,NA,1,1,1,2,2,NA
NA,NA,NA,1,7,NA,146F15,726F01,NA,519,519,NA,2927408,29,3DA5E21F35962C5EB139FBBA176F025E,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,2005,1990,3,19,NA,NA,1,1,1,2,2,NA
NA,NA,NA,1,9,NA,145F01,999990,NA,40,578,NA,2927408,29,117626109227,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,1,NA,1,0,NA,NA,NA,0,0,NA,1990,1990,NA,25,NA,NA,1,1,1,1,1,NA
NA,NA,NA,1,9,NA,145F01,999990,NA,40,578,NA,2927408,29,117626109227,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,1,NA,1,0,NA,NA,NA,0,0,NA,1990,1990,NA,26,NA,NA,1,1,1,1,1,NA
NA,NA,NA,1,9,NA,145F01,999990,NA,40,578,NA,2927408,29,117626109227,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,1,NA,1,0,NA,NA,NA,0,0,NA,1990,1990,NA,27,NA,NA,1,1,1,1,1,NA
NA,NA,NA,1,9,NA,145F01,999991,NA,9999999,578,NA,2927408,29,123657986676,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,2015,2013,3,26,NA,NA,1,1,2,1,1,NA
NA,NA,NA,1,9,NA,145F02,999990,NA,578,578,NA,2927408,29,115196487238,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1984,1998,3,10,NA,NA,1,1,1,1,1,NA
NA,NA,NA,1,9,NA,145F02,999990,NA,578,578,NA,2927408,29,115196487238,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1984,1998,3,19,NA,NA,1,1,1,1,1,NA
NA,NA,NA,1,9,NA,145F02,999990,NA,578,578,NA,2927408,29,115196487238,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1984,1998,3,20,NA,NA,1,1,1,1,1,NA
NA,NA,NA,1,9,NA,145F02,999990,NA,578,578,NA,2927408,29,115196487238,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1984,1998,3,25,NA,NA,1,1,1,1,1,NA
NA,NA,NA,1,9,NA,145F02,999990,NA,578,578,NA,2927408,29,115196487238,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1984,1998,3,9,NA,NA,1,1,1,1,1,NA
NA,NA,NA,1,9,NA,145F02,999990,NA,578,578,NA,2927408,29,115196487238,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,1984,1998,NA,9,NA,NA,1,1,1,1,1,NA
NA,NA,NA,1,9,NA,145F02,999990,NA,578,578,NA,2927408,29,117624547006,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1993,1999,3,11,NA,NA,1,1,1,1,1,NA
